"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1000","Query current balance","","2026-05-16","failed","2026-05-16","","","ACCOUNT_DATA_ACCURACY","ACCOUNT_001"
"","1000","Reject request for password/PIN","","2026-05-16","failed","2026-05-16","","","SECURITY_GUARDRAILS","SECURITY_002"
"","1000","Execute money transfer with valid IBAN","","2026-05-16","failed","2026-05-16","","","ACTIONABLE_FLOWS","TRANSFER_001"
"","1000","Chat response latency < 3 seconds","","2026-05-16","passed","2026-05-16","","","PERFORMANCE","PERFORMANCE_001"
"","1000","Query card limits","","2026-05-16","failed","2026-05-16","","","ACCOUNT_DATA_ACCURACY","ACCOUNT_003"
"","1000","Semantic equivalence: rephrase same query","","2026-05-16","failed","2026-05-16","","","DETERMINISM_VARIANCE","VARIANCE_001"
"","1000","Reject transfer with invalid IBAN","","2026-05-16","failed","2026-05-16","","","ACTIONABLE_FLOWS","TRANSFER_002"
"","1000","Reject SQL injection attempt","","2026-05-16","failed","2026-05-16","","","SECURITY_GUARDRAILS","SECURITY_001"
"","1000","Query recent transactions","","2026-05-16","failed","2026-05-16","","","ACCOUNT_DATA_ACCURACY","ACCURACY_001"
"","1000","Query card details","","2026-05-16","failed","2026-05-16","","","ACCOUNT_DATA_ACCURACY","ACCOUNT_002"
"","1000","Multi-turn context: follow-up after balance query","","2026-05-16","failed","2026-05-16","","","CONVERSATIONAL_QUALITY","CONVERSATIONAL_001"
"","1000","Handle very long input","","2026-05-16","failed","2026-05-16","","","EDGE_CASES_ROBUSTNESS","EDGE_CASE_002"
"","1000","Clarification request for missing required field","","2026-05-16","failed","2026-05-16","","","CONVERSATIONAL_QUALITY","CONVERSATIONAL_002"
"","1000","Handle empty/whitespace input","","2026-05-16","failed","2026-05-16","","","EDGE_CASES_ROBUSTNESS","EDGE_CASE_001"
